Faculty,Currency,Part_Time,Availability,Prerequisite_2,Full_Time,Description,Website,Offline,Prerequisite_3_grade,Level_Code,Prerequisite_3,Course,Blended,Duration,Int_Fees,Prerequisite_1_grade,Online,Course_Lang,Country,Local_Fees,Face_to_Face,Career_Outcomes,Prerequisite_2_grade,University,Distance,Duration_Time,Prerequisite_1,Remarks,City,Currency_Time
Computer Science & Information Technology,AUD,no,D,,yes,"Are you a university educator seeking to explore, critique and contribute to the study of higher education? The Graduate Certificate in University Learning and Teaching is designed to help new and experienced university teachers develop a scholarly approach to teaching. You will examine the context, purpose and role of higher education and have the opportunity to debate contemporary issues in theory and practice. Our courses cover adult learning, curriculum, leadership and change, philosophy, policy and research methodologies. This degree balances theory with practice: viewing learning and teaching from a range of perspectives including participants own experiences, the experiences of students and colleagues, and the educational literature. This approach provides a foundation for individual professional teaching development and for further exploration in higher education.",https://degrees.unsw.edu.au/graduate-certificate-in-university-learning-teaching/,yes,,PG,,Graduate Certificate in University Learning & Teaching,no,8,,6.5,no,English,Australia,"13,440^",yes,"Work in Urban Design Consultancies, Doctoral Studies at a Major University, Work in the Development Industry, Work in City Agencies",,University of New South Wales,no,Months,IELTS,,Kensington,year
Mass Communication & Media,AUD,no,A,,no,"The Graduate Certificate of Visualisation, Simulation & Immersive Design will equip you to become a future-ready design leader, capable of understanding and meeting the growing demand of immersive practices across a multitude of industries.
 The program offers a unique human-centric, design-led approach focusing on human perception and experience. You will learn how, why, when and where to effectively utilise simulation and immersive platforms including VR, AR and MR. Your learning will engage you with these technologies first-hand as you explore real case studies and gain insights from global leaders. You will develop immersion strategies to tackle specific industry-related problems in your field of interest.
 The program caters to the demands of professionals from diverse industry sectors. It can be studied full-time or part-time and is delivered via a range of flexible modalities incorporating online, face-to-face classes and creative studios. *This program is designed to accommodate busy professionals. Core courses are conducted online with two to three intensive face-to-face meetups per term, often on weekends. Students will have full access to all campus facilities throughout each term. A range of fully online and on campus electives are available.",https://degrees.unsw.edu.au/grad-cert-vis-sim-im-des/,yes,,PG,,"Graduate Certificate in Visualisation, Simulation & Immersive Design",yes,8,"15,480",6.5,yes,English,Australia,"15,480",yes,"Work in Urban Design Consultancies, Doctoral Studies at a Major University, Work in the Development Industry, Work in City Agencies",,University of New South Wales,yes,Months,IELTS,,Online,year
Mass Communication & Media,AUD,no,A,,no,"The Graduate Certificate of Visualisation, Simulation & Immersive Design will equip you to become a future-ready design leader, capable of understanding and meeting the growing demand of immersive practices across a multitude of industries.
 The program offers a unique human-centric, design-led approach focusing on human perception and experience. You will learn how, why, when and where to effectively utilise simulation and immersive platforms including VR, AR and MR. Your learning will engage you with these technologies first-hand as you explore real case studies and gain insights from global leaders. You will develop immersion strategies to tackle specific industry-related problems in your field of interest.
 The program caters to the demands of professionals from diverse industry sectors. It can be studied full-time or part-time and is delivered via a range of flexible modalities incorporating online, face-to-face classes and creative studios. *This program is designed to accommodate busy professionals. Core courses are conducted online with two to three intensive face-to-face meetups per term, often on weekends. Students will have full access to all campus facilities throughout each term. A range of fully online and on campus electives are available.",https://degrees.unsw.edu.au/grad-cert-vis-sim-im-des/,yes,,PG,,"Graduate Certificate in Visualisation, Simulation & Immersive Design",yes,8,"15,480",6.5,yes,English,Australia,"15,480",yes,"Work in Urban Design Consultancies, Doctoral Studies at a Major University, Work in the Development Industry, Work in City Agencies",,University of New South Wales,yes,Months,IELTS,,Paddington,year
English,AUD,yes,A,,yes,"Women's Health Medicine is an expanding and diverse field of practice. It encompasses the timely provision of sexual and reproductive care, pre-pregnancy and pregnancy care as well as the management of female-specific conditions. Increasing numbers of medical practitioners are developing special interests in this area   particularly GPs, family planning practitioners and generalist gynaecologists. Specialisations are also emerging in this field among nursing and allied health professionals and biological scientists. The Graduate Certificate in Women's Health Medicine is an online program which enables you to integrate your learning into your daily professional life. The courses have been developed to provide an evidence-based and practice-centred approach to this field of study.",https://degrees.unsw.edu.au/graduate-certificate-in-womens-health-medicine/,no,,PG,,Graduate Certificate in Women's Health Medicine,no,8,"15,720",6.5,yes,English,Australia,"15,720",no,Increase knowledge and expertise within your existing career choice,,University of New South Wales,yes,Months,IELTS,,Online,year
English,AUD,yes,A,,yes,"Women's Health Medicine is an expanding and diverse field of practice. It encompasses the timely provision of sexual and reproductive care, pre-pregnancy and pregnancy care as well as the management of female-specific conditions. Increasing numbers of medical practitioners are developing special interests in this area   particularly GPs, family planning practitioners and generalist gynaecologists. Specialisations are also emerging in this field among nursing and allied health professionals and biological scientists. The Graduate Certificate in Women's Health Medicine is an online program which enables you to integrate your learning into your daily professional life. The courses have been developed to provide an evidence-based and practice-centred approach to this field of study.",https://degrees.unsw.edu.au/graduate-certificate-in-womens-health-medicine/,no,,PG,,Graduate Certificate in Women's Health Medicine,no,8,"15,720",6.5,yes,English,Australia,"15,720",no,Increase knowledge and expertise within your existing career choice,,University of New South Wales,yes,Months,IELTS,,Kensington,year
English,AUD,yes,A,,no,"There is a rapidly growing need for a skilled workforce in forensic mental health in NSW. The criminal aspects of forensic mental health services are largely provided for by NSW Justice Health, and the development of new facilities will require additional suitably qualified staff for the foreseeable future. Forensic psychiatry private practice provides further opportunities for practitioners. The Graduate Diploma in Forensic Mental Health offers you comprehensive training in forensic mental health, covering the theoretical and practical aspects of criminal, civil, child and family forensic mental health sub-specialities. The program aims to provide specialised levels of expertise in the clinical and legal aspects of Law and Forensic Mental Health to an emerging skilled multidisciplinary workforce. It draws upon the existing body of leading expertise in law, medicine and nursing, and the rich clinical resources of the Justice Health Long Bay Matraville complex which includes the high secure Forensic Hospital. The program is entirely online, through video lectures, forums and activities.",https://degrees.unsw.edu.au/graduate-diploma-forensic-mental-health/,no,,PG,,Graduate Diploma Forensic Mental Health,no,1,"23,580",6.5,yes,English,Australia,"23,580",no,"Nursing, Psychology, Social work",,University of New South Wales,yes,Year,IELTS,,Online,year
English,AUD,yes,A,,no,"There is a rapidly growing need for a skilled workforce in forensic mental health in NSW. The criminal aspects of forensic mental health services are largely provided for by NSW Justice Health, and the development of new facilities will require additional suitably qualified staff for the foreseeable future. Forensic psychiatry private practice provides further opportunities for practitioners. The Graduate Diploma in Forensic Mental Health offers you comprehensive training in forensic mental health, covering the theoretical and practical aspects of criminal, civil, child and family forensic mental health sub-specialities. The program aims to provide specialised levels of expertise in the clinical and legal aspects of Law and Forensic Mental Health to an emerging skilled multidisciplinary workforce. It draws upon the existing body of leading expertise in law, medicine and nursing, and the rich clinical resources of the Justice Health Long Bay Matraville complex which includes the high secure Forensic Hospital. The program is entirely online, through video lectures, forums and activities.",https://degrees.unsw.edu.au/graduate-diploma-forensic-mental-health/,no,,PG,,Graduate Diploma Forensic Mental Health,no,1,"23,580",6.5,yes,English,Australia,"23,580",no,"Nursing, Psychology, Social work",,University of New South Wales,yes,Year,IELTS,,Kensington,year
English,AUD,no,D,,yes,"The Graduate Diploma in Advanced Flying is designed to meet the needs of anyone seeking a career as an airline pilot. This program provides you with the ground and simulator training required by airlines for pilots prior to type endorsement. The core training involves concepts and practices of Multi-Crew-Coordination and the training in Aeroplane Systems required for you to operate an airline-category aeroplane as a pilot.This Diploma also includes four related aviation postgraduate theory courses. You will learn about aviation safety management systems, human factors, accident investigation techniques, airworthiness for transport category aircraft and flight deck ops. The duration of this one-year program depends on the pattern of attendance, which can be full-time or part-time; it is one year if studied full time but it can be undertaken on a part-time basis.",https://degrees.unsw.edu.au/graduate-diploma-in-advanced-flying/,yes,,PG,,Graduate Diploma in Advanced Flying,no,1,,6.5,no,English,Australia,"46,920",yes,"Cabin Crew Manager, Flight Crew Scheduler, Flying Instructor, Pilot",,University of New South Wales,no,Year,IELTS,,Kensington,year
Business & Commerce & Finance & Accounting,AUD,no,A,,yes,"Big data has disrupted the skills and knowledge required of employees across functions to deliver value to their organisations. The demand for
 professionals with analytics capabilities who can skillfully apply data-driven decisions is increasing exponentially. UNSW Business School has
 introduced a suite of online analytics programs to meet this demand.",https://degrees.unsw.edu.au/graduate-diploma-analytics/,no,,PG,,Graduate Diploma in Analytics,no,17,"26,580",6.5,yes,English,Australia,"26,580",no,"Cabin Crew Manager, Flight Crew Scheduler, Flying Instructor, Pilot",,University of New South Wales,yes,Months,IELTS,,Online,year
Aviation,AUD,no,A,,yes,"The Graduate Diploma in Aviation Management is designed for students who do not have a university degree but have at least one year of relevant industry experience. This program develops the necessary skills in managers and professionals to be effective in aviation management. You will learn entirely through distance education; the online courses are delivered through a secure learning and teaching website, meaning you do not need to attend any on-campus activities. To complete this program, you must study four elective courses of your own choice. These could include courses covering operations and corporate management, law and regulation, security, accident prevention and more. Â The program is 48 units of credit (or one-year full-time equivalent) and can be taken on a full-time or part-time basis. Students with appropriate education and/or professional experience may be eligible to complete the degree in less time. Students with full-time employment are recommended to undertake a part-time study load.",https://degrees.unsw.edu.au/graduate-diploma-in-aviation-management/,no,,PG,,Graduate Diploma in Aviation Management,no,1,"39,600",6.5,yes,English,Australia,"39,600",no,"Fleet Planner, Flight Crew Schedular, Aviation Maintenance Controller, Cargo Marketing Manager, Aviation Consultant, Aviation Revenue Manager, Aviation Operations Controller",,University of New South Wales,yes,Year,IELTS,,Online,year
Aviation,AUD,no,A,,yes,"The Graduate Diploma in Aviation Management is designed for students who do not have a university degree but have at least one year of relevant industry experience. This program develops the necessary skills in managers and professionals to be effective in aviation management. You will learn entirely through distance education; the online courses are delivered through a secure learning and teaching website, meaning you do not need to attend any on-campus activities. To complete this program, you must study four elective courses of your own choice. These could include courses covering operations and corporate management, law and regulation, security, accident prevention and more. Â The program is 48 units of credit (or one-year full-time equivalent) and can be taken on a full-time or part-time basis. Students with appropriate education and/or professional experience may be eligible to complete the degree in less time. Students with full-time employment are recommended to undertake a part-time study load.",https://degrees.unsw.edu.au/graduate-diploma-in-aviation-management/,no,,PG,,Graduate Diploma in Aviation Management,no,1,"39,600",6.5,yes,English,Australia,"39,600",no,"Fleet Planner, Flight Crew Schedular, Aviation Maintenance Controller, Cargo Marketing Manager, Aviation Consultant, Aviation Revenue Manager, Aviation Operations Controller",,University of New South Wales,yes,Year,IELTS,,Kensington,year
Computer Science & Information Technology,AUD,no,A,,yes,"The Graduate Diploma in City Analytics is a unique one-year program which upskills the next generation of city data, analytics and modelling professionals. You will gain the ability to harness the power of data-driven approaches to understand the inherent complexity of the city. This program will play an integral role in developing your skill set and developing the culture of data-driven, evidence-based policy and decision making across our cities.The core elements of the Graduate Diploma in City Analytics are courses in Scientific Programming, Digital Cities, GIS in Planning and Urban Data Visualisation. *This program is suspended and the final intake will be T3 2020. From 2021 you will be able to study City Analytics as a sequence of recommended electives in the UNSW Master of City Planning, as well as electives in other Built Environment programs.",https://degrees.unsw.edu.au/graduate-diploma-in-city-analytics/,yes,,PG,,Graduate Diploma in City Analytics,no,1,"38,880",6.5,no,English,Australia,"38,880",yes,"Spatial Analyst, Data Analyst, Future Transport Director, Urban Data Specialist, Smart Cities Manager",,University of New South Wales,no,Year,IELTS,,Kensington,year
Computer Science & Information Technology,AUD,no,A,,yes,"The Graduate Diploma in City Planning is a year-long program designed for you to move into planning from a related discipline, or to gain a greater understanding of planning from a relevant professional standpoint. Key areas of study include urban society, theory and history, city economics and development, the environment and sustainability, strategic spatial planning, law, administration, research and analysis.",https://degrees.unsw.edu.au/graduate-diploma-in-city-planning/,yes,,PG,,Graduate Diploma in City Planning,no,1,"38,880",6.5,no,English,Australia,"38,880",yes,"Housing Consultancy, Urban Renewal, Environmental Management, Heritage, Urban Design",,University of New South Wales,no,Year,IELTS,,Kensington,year
Humanities and Social Science,AUD,no,A,,yes,"The Graduate Diploma in Cultural Leadership consists of eight courses from the Master of Curating and Cultural Leadership. It will provide you with a grounding in contemporary art and curating, as well as a pragmatic understanding of the art world and key skills in research. This program emphasises leadership as a form of action, meant to nurture collaboration, innovation and entrepreneurship. You will get a strong foundation in strategic management and ethical practice, with an emphasis on emerging and experimental models of cultural production and audience engagement.",https://degrees.unsw.edu.au/graduate-diploma-in-cultural-leadership/,yes,,PG,,Graduate Diploma in Cultural Leadership,no,1,"37,200",6.5,no,English,Australia,"37,200",yes,"Arts curation, policy or administration, Direction of cultural organisations or institutions, Cultural research, Festival programming, Museum management",,University of New South Wales,no,Year,IELTS,,Paddington,year
Computer Science & Information Technology,AUD,no,A,,yes,The Graduate Diploma is designed for those looking to build upon foundational knowledge and gain the cyber security skills needed to meet demand in an evolving industry. Develop a holistic perspective of the current and emerging trends in cybercrime and gain the technical skills to secure modern networks against cyber-attacks.,https://degrees.unsw.edu.au/graduate-diploma-in-cyber-security/,no,,PG,,Graduate Diploma in Cyber Security,no,17,"35,460",6.5,yes,English,Australia,"35,460",no,"Arts curation, policy or administration, Direction of cultural organisations or institutions, Cultural research, Festival programming, Museum management",,University of New South Wales,yes,Months,IELTS,,Online,year
Computer Science & Information Technology,AUD,no,A,,yes,"The Graduate Diploma in Data Science covers the foundational skills of data science as applied in computer science, economics and mathematics. 
It also includes programming, statistics and data systems. Completing these courses will give you a strong foundation and advanced knowledge in data science that are increasingly in high demand. Study for the Graduate Diploma is fully online and features seven core courses and one elective which can
 be completed in 16 months. UNSWs online learning environment has been designed to seamlessly fit into your busy schedule and youll be able to access course resources on any device, at any time. This program also gives you a pathway to study the Graduate Diploma in Data Science and Master of Data Science.",https://degrees.unsw.edu.au/graduate-diploma-data-science/,no,,PG,,Graduate Diploma in Data Science,no,17,"34,260",6.5,yes,English,Australia,"34,260",no,"Data scientist, Data analyst, Data engineer, Business intelligence developer, Applications architect",,University of New South Wales,yes,Months,IELTS,,Online,year
Computer Science & Information Technology,AUD,no,A,,yes,"The Graduate Diploma in Data Science covers the foundational skills of data science as applied in computer science, economics and mathematics. 
It also includes programming, statistics and data systems. Completing these courses will give you a strong foundation and advanced knowledge in data science that are increasingly in high demand. Study for the Graduate Diploma is fully online and features seven core courses and one elective which can
 be completed in 16 months. UNSWs online learning environment has been designed to seamlessly fit into your busy schedule and youll be able to access course resources on any device, at any time. This program also gives you a pathway to study the Graduate Diploma in Data Science and Master of Data Science.",https://degrees.unsw.edu.au/graduate-diploma-data-science/,no,,PG,,Graduate Diploma in Data Science,no,17,"34,260",6.5,yes,English,Australia,"34,260",no,"Data scientist, Data analyst, Data engineer, Business intelligence developer, Applications architect",,University of New South Wales,yes,Months,IELTS,,Kensington,year
Computer Science & Information Technology,AUD,no,A,,yes,"The Graduate Diploma in Data Science & Decisions aims to produce professionals who are skilled in the manipulation and interpretation of large amounts of data. The Graduate Diploma has been developed to train scientists to meet the current, and future, strong demand for Data Scientists and Data Analysts. Graduates will have broad and advanced knowledge and skills in Data Science across the three areas of mathematics and statistics, computer science, and economics.",https://degrees.unsw.edu.au/graduate-diploma-in-data-science-decisions/,yes,,PG,,Graduate Diploma in Data Science & Decisions,no,1,"44,640",6.5,no,English,Australia,"44,640",yes,"Data scientist, Data analyst, Data engineer, Business intelligence developer, Applications architect",,University of New South Wales,no,Year,IELTS,,Kensington,year
Creative Arts & Design & Music,AUD,no,A,,yes,"The Graduate Diploma in Design is a professionally relevant one-year program featuring eight courses from the Master of Design. You will learn about design as processes, design practice and history, gaining an understanding of design communication and research.You will also take three courses from other areas of practice and studio electives including Spatial Experiences, Interaction Design and UX Experience, Visualisation and Visual Effects, Future Making, Graphic Communication, Planar Practices and Temporal and Spatial Practices.",https://degrees.unsw.edu.au/graduate-diploma-in-design/,yes,,PG,,Graduate Diploma in Design,no,1,"37,200",6.5,no,English,Australia,"37,200",yes,"UX and experiential design, Graphics, media and digital design, Events, theatre and production design, Creative consultancies, social innovation and entrepreneurship, Design management and strategy",,University of New South Wales,no,Year,IELTS,,Paddington,year
Engineering,AUD,no,A,,yes,"You will deepen your knowledge of hazard identification, risk and safety management, mine geology and geophysics, as well as drilling, blasting and machine excavation. Many of our courses are offered as modules over a short block period, enabling mining company employees and associated service providers to attend on a part-time basis. Please note that some electives may only be offered every two years.",https://degrees.unsw.edu.au/graduate-diploma-of-biomedical-engineering/,yes,,PG,,Graduate Diploma of Biomedical Engineering,no,1,"47,280",6.5,no,English,Australia,"47,280",yes,"Medical imaging, Radiotherapy, Orthopaedics, Telemedicine, Records managementÂ",,University of New South Wales,no,Year,IELTS,,Kensington,year
Engineering,AUD,no,A,,yes,"If you're an engineer or a graduate wanting to further develop and expand your knowledge in a specialised area, the Graduate Diploma of Engineering Science is for you. This program will enable you to meet or maintain professional accreditation standards, provide opportunities for continuing professional development and interact with those at the cutting edge of their discipline. You will add breadth to your knowledge of engineering in general and expand your skills in engineering management, as well as developing your technical knowledge and ability to analyse engineering problems. The specialisations available include: Biomedical Engineering; Chemical Process Engineering; Civil Engineering; Transport Engineering; Environmental Engineering; Project Management; Water Engineering: Catchments to Coast; Water, Wastewater and Waste Engineering; Geospatial Engineering; Geotechnical Engineering and Engineering Geology; Structural Engineering; Electrical Engineering; Energy Systems; Food Process Engineering; Manufacturing Engineering and Management; Mechanical Engineering; Nuclear Engineering; Petroleum Engineering: Petroleum Engineering Open Learning; Photovoltaics and Solar Energy; Renewable Energy; and Telecommunications. This program also serves as a pathway towards the Master of Engineering Science.",https://degrees.unsw.edu.au/graduate-diploma-of-engineering-science/,yes,,PG,,Graduate Diploma of Engineering Science,no,1,"47,280",6.5,no,English,Australia,"47,280",yes,"Civil engineer, Electrical engineer, Project manager, Water engineer, Structural engineer, Environmental engineer, Biomedical engineer, Transport engineer, Petroleum Engineer",,University of New South Wales,no,Year,IELTS,,Kensington,year
Business & Commerce & Finance & Accounting,AUD,no,A,,yes,"The world is changing; sustainability and environmental management have become crucial issues, presenting significant opportunities and challenges for business, government and civil society. Are you seeking to make a positive impact on future global environmental policy and practice? The Graduate Diploma in Environmental Managements interdisciplinary and applied set of courses outline some of the main decision-making frameworks and tools related to environmental management. You will also gain discipline-specific knowledge for a range of environmental professions.",https://degrees.unsw.edu.au/graduate-diploma-in-environmental-management/,yes,,PG,,Graduate Diploma in Environmental Management,yes,1,"38,160",6.5,yes,English,Australia,"38,160",yes,"Environmental Managers, Environmental Scientists, Environmental Consultants, Field Officers, Ecologists, Parks and Land Managers, Policy Specialists, Renewable Energy Specialists, Environmental Planner",,University of New South Wales,yes,Year,IELTS,,Online,year
Business & Commerce & Finance & Accounting,AUD,no,A,,yes,"The world is changing; sustainability and environmental management have become crucial issues, presenting significant opportunities and challenges for business, government and civil society. Are you seeking to make a positive impact on future global environmental policy and practice? The Graduate Diploma in Environmental Managements interdisciplinary and applied set of courses outline some of the main decision-making frameworks and tools related to environmental management. You will also gain discipline-specific knowledge for a range of environmental professions.",https://degrees.unsw.edu.au/graduate-diploma-in-environmental-management/,yes,,PG,,Graduate Diploma in Environmental Management,yes,1,"38,160",6.5,yes,English,Australia,"38,160",yes,"Environmental Managers, Environmental Scientists, Environmental Consultants, Field Officers, Ecologists, Parks and Land Managers, Policy Specialists, Renewable Energy Specialists, Environmental Planner",,University of New South Wales,yes,Year,IELTS,,Kensington,year
Business & Commerce & Finance & Accounting,AUD,no,A,,yes,"The Graduate Diploma in Financial Planning is designed to develop (or upgrade) your skills in investment, financial planning and taxation for a career in personal financial advisory. You'll gain knowledge in financial markets, financial products, investment (theory, evidence and quantitative techniques), risk management, financial planning, taxation law and compliance, as well as ethical and professional conduct.",https://degrees.unsw.edu.au/graduate-diploma-in-financial-planning/,yes,,PG,,Graduate Diploma in Financial Planning,no,1,"48,240",6.5,no,English,Australia,"48,240",yes,"Financial Planner, Investment Adviser, Paraplanner, Tax Consultant",,University of New South Wales,no,Year,IELTS,,Kensington,year
Business & Commerce & Finance & Accounting,AUD,no,D,,yes,"The Graduate Diploma in Flying is a one-year program designed to meet the needs of graduates wanting a career as a professional pilot. It covers the necessary training and assessment for your Commercial Pilot Licence (CPL) and Instrument Rating (IR), as well as academic study of the underpinning theory, delivered via four courses in Flying Operations. You will learn the technical interdisciplinary knowledge required to successfully operate an aeroplane.All classes and training take place at the Flight Operations Unit at Bankstown Airport, starting with a Flight Screening course commencing in September. You can take the Graduate Diploma in Flying as a standalone program, or concurrent with the Bachelor of Aviation (Management).",https://degrees.unsw.edu.au/graduate-diploma-in-flying/,yes,,PG,,Graduate Diploma in Flying,no,1,,6.5,no,English,Australia,"121,680",yes,"Pilot, Flying Instructor, Cabin Crew Manager, Fleet Planner, Flight Crew Scheduler, Airfreight Manager, Airport Planner, Aviation Safety Manager",,University of New South Wales,no,Year,IELTS,,Kensington,year
Science and Health Science,AUD,no,A,,yes,"The Graduate Diploma of Food Science is designed for graduates from related disciplines wishing to advance their knowledge and skills in this area. In this program you will develop your technical knowledge and ability to analyse food science problems and gain a deeper understanding of the agrifood business, in addition to meeting or maintaining professional accreditation standards and furthering your career opportunities. Our courses provide strategies and tools to increase efficiency and performance, and the chance to learn alongside like-minded industry professionals. The Graduate Diploma also provides a pathway towards the Master of Food Science.Â",https://degrees.unsw.edu.au/graduate-diploma-in-food-science/,yes,,PG,,Graduate Diploma in Food Science,no,1,"35,760",6.5,no,English,Australia,"35,760",yes,"Food safety, Nutritionist, Food engineering, Product design",,University of New South Wales,no,Year,IELTS,,Kensington,year
English,AUD,no,A,,yes,"The Graduate Diploma in Global Health provides a human ecology perspective of health and disease, and expertise in relevant investigative methods. It emphasises the development of infrastructure for policy development, monitoring and surveillance, research and evaluation, workforce development, and program delivery that directs and supports public health action to promote, protect and maintain the health of populations. The program provides the basic professional education and training for graduates to work internationally in health departments, with government and non-government organisations, and with international and bi-lateral aid agencies. You will gain an understanding of evidence-based, culturally appropriate and cost-effective approaches to disease control, health promotion and health services development based on real-life public health interventions.",https://degrees.unsw.edu.au/graduate-diploma-in-international-public-health/,yes,,PG,,Graduate Diploma in Global Health,yes,1,"35,460",6.5,yes,English,Australia,"35,460",yes,"Epidemiology, Health promotion, Policy formulation, Research, Management of health programs",,University of New South Wales,yes,Year,IELTS,,Online,year
English,AUD,no,A,,yes,"The Graduate Diploma in Global Health provides a human ecology perspective of health and disease, and expertise in relevant investigative methods. It emphasises the development of infrastructure for policy development, monitoring and surveillance, research and evaluation, workforce development, and program delivery that directs and supports public health action to promote, protect and maintain the health of populations. The program provides the basic professional education and training for graduates to work internationally in health departments, with government and non-government organisations, and with international and bi-lateral aid agencies. You will gain an understanding of evidence-based, culturally appropriate and cost-effective approaches to disease control, health promotion and health services development based on real-life public health interventions.",https://degrees.unsw.edu.au/graduate-diploma-in-international-public-health/,yes,,PG,,Graduate Diploma in Global Health,yes,1,"35,460",6.5,yes,English,Australia,"35,460",yes,"Epidemiology, Health promotion, Policy formulation, Research, Management of health programs",,University of New South Wales,yes,Year,IELTS,,Kensington,year
English,AUD,yes,A,,yes,"Health Data Science (HDS) is the science and art of generating data-driven solutions through comprehension of complex real-world health problems, employing critical thinking and analytics to derive knowledge from big data. HDS is an emergent discipline, arising at the intersection of biostatistics, computer science and health. The Graduate Diploma in Health Data Science covers the second part of the HDS pipeline concerned with data analytics, machine learning and data mining, data modelling and communication including data visualisation. The program is designed to appeal to those new to the field, as well as those already working in the industry who are keen to develop their knowledge and skills.Â",https://degrees.unsw.edu.au/graduate-diploma-in-health-data-science/,yes,,PG,,Graduate Diploma in Health Data Science,no,1,"40,140",6.5,no,English,Australia,"40,140",yes,"Health data management, Health data analytics, Health research",,University of New South Wales,no,Year,IELTS,,Kensington,year
English,AUD,yes,A,,yes,"The Graduate Diploma in Health Leadership and Management provides you with the knowledge and skills required for senior managerial roles in health service delivery. It aims to help promote current and future leaders who are skilled in strategic planning, quality and safety improvement and monitoring, and policy making in a wide variety of contexts. These include the hospital and community health care services, aged care services, ministries and departments of health, government and non-government and voluntary organisations, primary care and general practice, in both public and private sectors.You will receive a strong grounding in the principles underpinning health systems and services, strategic planning, change management, financial management and health economics, evidence-informed decision and policy making, clinical governance and risk management, and innovation and improvement strategies.",https://degrees.unsw.edu.au/graduate-diploma-in-health-management/,yes,,PG,,Graduate Diploma in Health Leadership and Management,yes,1,"35,460",6.5,yes,English,Australia,"35,460",yes,"Medical administrator, Medical manager, Health management academic career",,University of New South Wales,yes,Year,IELTS,,Online,year
English,AUD,yes,A,,yes,"The Graduate Diploma in Health Leadership and Management provides you with the knowledge and skills required for senior managerial roles in health service delivery. It aims to help promote current and future leaders who are skilled in strategic planning, quality and safety improvement and monitoring, and policy making in a wide variety of contexts. These include the hospital and community health care services, aged care services, ministries and departments of health, government and non-government and voluntary organisations, primary care and general practice, in both public and private sectors.You will receive a strong grounding in the principles underpinning health systems and services, strategic planning, change management, financial management and health economics, evidence-informed decision and policy making, clinical governance and risk management, and innovation and improvement strategies.",https://degrees.unsw.edu.au/graduate-diploma-in-health-management/,yes,,PG,,Graduate Diploma in Health Leadership and Management,yes,1,"35,460",6.5,yes,English,Australia,"35,460",yes,"Medical administrator, Medical manager, Health management academic career",,University of New South Wales,yes,Year,IELTS,,Kensington,year
Medical and Nursing,AUD,no,A,,yes,"Population growth, urbanisation, increased travel and migration, and changing ecosystems are just some of the factors contributing to changes in infectious disease epidemiology. There is an urgent need to develop the capacity of the health workforces knowledge of the theory and principles of control of infectious diseases in this evolving scenario.The Graduate Diploma in Infectious Diseases Intelligence develops your skills in effective prevention or control of infectious diseases. You get exposed to a range of courses including Infectious Disease Intelligence, Infectious Disease Challenges: Epidemiology and Control, Immunisation Policy and Practice, and Bioterrorism and Health Intelligence. This Graduate Diploma, offered entirely online, articulates with the Masters of Infectious Disease Intelligence, Master of Public Health in Infectious Diseases Epidemiology specialisation as well as the Master of International Health.",https://degrees.unsw.edu.au/graduate-diploma-in-infectious-diseases-intelligence/,yes,,PG,,Graduate Diploma in Infectious Diseases Intelligence,yes,1,"35,460",6.5,yes,English,Australia,"35,460",yes,"Epidemiology, Infection control",,University of New South Wales,yes,Year,IELTS,,Online,year
Medical and Nursing,AUD,no,A,,yes,"Population growth, urbanisation, increased travel and migration, and changing ecosystems are just some of the factors contributing to changes in infectious disease epidemiology. There is an urgent need to develop the capacity of the health workforces knowledge of the theory and principles of control of infectious diseases in this evolving scenario.The Graduate Diploma in Infectious Diseases Intelligence develops your skills in effective prevention or control of infectious diseases. You get exposed to a range of courses including Infectious Disease Intelligence, Infectious Disease Challenges: Epidemiology and Control, Immunisation Policy and Practice, and Bioterrorism and Health Intelligence. This Graduate Diploma, offered entirely online, articulates with the Masters of Infectious Disease Intelligence, Master of Public Health in Infectious Diseases Epidemiology specialisation as well as the Master of International Health.",https://degrees.unsw.edu.au/graduate-diploma-in-infectious-diseases-intelligence/,yes,,PG,,Graduate Diploma in Infectious Diseases Intelligence,yes,1,"35,460",6.5,yes,English,Australia,"35,460",yes,"Epidemiology, Infection control",,University of New South Wales,yes,Year,IELTS,,Kensington,year
Computer Science & Information Technology,AUD,no,A,,yes,"If you have little or no background in computing but want to attain a qualification in this area, the Graduate Diploma in Information Technology is designed for you. It also suits those with a bachelor degree in a relevant discipline who want a broader understanding of computing, or anyone with a bachelor degree in Computer Science or Computer Engineering who wants to specialise. This program provides a broad-based IT education and more specialised knowledge in up to two major areas, providing core skills to enable you to work in a range of positions in the IT industry. It is similar in scope to the Bachelor of Science (Computer Science) undergraduate degree.Â",https://degrees.unsw.edu.au/graduate-diploma-in-information-technology/,yes,,PG,,Graduate Diploma in Information Technology,no,20,"47,280",6.5,no,English,Australia,"47,280",yes,"Computer science, IT, IS, Software engineer, Systems administrationÂ",,University of New South Wales,no,Months,IELTS,,Kensington,year
